Vibration_X,Vibration_Y,Vibration_Z,Acoustic_Level,Temperature,Fault_Type_Encoded,Fault_Type_Label
0.79456985,0.92840874,0.73982596,78.14691,77.80198,0,Bearing Fault
0.6890651,0.88626146,0.7676369,79.79398,71.800674,0,Bearing Fault
0.8869211,0.84802216,0.60475653,76.65283,77.327675,0,Bearing Fault
0.8518373,0.84262425,0.83107793,59.283928,75.10709,0,Bearing Fault
0.6851902,0.7980758,0.7973353,70.96654,71.653046,0,Bearing Fault
0.75259316,0.8733373,0.8737063,72.15418,74.51898,0,Bearing Fault
0.7540677,1.0460192,0.7942614,77.29637,76.4892,0,Bearing Fault
0.82733536,0.90573347,0.71011,71.826385,75.69956,0,Bearing Fault
0.8180317,0.9916827,0.7913987,75.00011,75.22787,0,Bearing Fault
0.87741673,0.8202481,0.77533484,69.91594,75.68639,0,Bearing Fault
0.7382957,0.9850767,0.8045175,80.55364,74.94589,0,Bearing Fault
0.7942469,0.9673392,0.84997624,75.28808,76.63176,0,Bearing Fault
0.7925327,0.89886826,0.9341483,62.795467,75.44936,0,Bearing Fault
0.76892257,0.87227696,0.86387664,77.420265,74.690346,0,Bearing Fault
0.89444995,0.8763538,0.739234,76.33762,74.61288,0,Bearing Fault
0.88190335,0.8278796,0.6178761,68.88104,73.89519,0,Bearing Fault
0.74600255,0.886999,0.838501,57.555573,77.491035,0,Bearing Fault
0.90345484,0.6882093,0.6507386,73.92474,75.06429,0,Bearing Fault
0.75339454,0.8699108,0.8816711,56.303905,81.99164,0,Bearing Fault
0.9062941,0.85835266,0.6631959,80.69875,74.12862,0,Bearing Fault
0.77273697,0.91496086,0.8449164,68.958916,77.56193,0,Bearing Fault
0.93161154,0.89998066,0.77818537,72.82414,77.03557,0,Bearing Fault
0.9707287,0.9619916,0.62111133,79.84888,76.28229,0,Bearing Fault
0.8394009,0.7494727,0.79060215,59.553833,77.97609,0,Bearing Fault
0.793007,0.8618156,0.750989,71.44492,77.92625,0,Bearing Fault
0.8186311,0.8896202,0.6362958,66.63722,73.367836,0,Bearing Fault
0.6880287,0.86070675,0.9091415,46.855568,77.80698,0,Bearing Fault
0.8091377,0.9959109,0.8079874,75.12898,77.167076,0,Bearing Fault
0.84214634,0.95404,0.78914493,68.99509,76.03092,0,Bearing Fault
0.7113622,0.88719624,0.7746692,77.399765,74.37437,0,Bearing Fault
0.7775431,0.87168986,0.75049645,79.31508,72.735985,0,Bearing Fault
0.9427772,0.8060257,0.72574574,72.79402,75.159546,0,Bearing Fault
0.7843036,0.859604,0.79061085,74.2654,77.81332,0,Bearing Fault
0.7004817,0.8086278,0.73312044,62.174767,75.032265,0,Bearing Fault
0.7713218,0.97998977,0.74791265,70.21501,72.923195,0,Bearing Fault
0.84835523,0.98530126,0.75516534,72.66005,78.96061,0,Bearing Fault
0.893753,0.84864855,0.57324404,58.52289,76.084595,0,Bearing Fault
0.9104118,0.9782851,0.7181507,85.06442,77.53298,0,Bearing Fault
0.8297188,0.8537602,0.67408776,85.3165,73.79304,0,Bearing Fault
0.68577766,0.96405804,0.8168124,73.46309,72.93797,0,Bearing Fault
0.7856087,0.9876396,0.7855052,77.12479,78.05974,0,Bearing Fault
0.6688615,0.97935516,0.8896195,62.713226,76.4401,0,Bearing Fault
0.8679373,0.91097397,0.8625456,61.065147,76.516884,0,Bearing Fault
0.7296515,0.9640663,0.87341535,60.881668,74.12106,0,Bearing Fault
0.6536725,0.89324194,0.7261381,73.67901,72.91377,0,Bearing Fault
0.8201812,1.0710963,0.6840668,76.123764,77.60382,0,Bearing Fault
0.97791594,0.9065128,0.69648135,78.399864,74.78588,0,Bearing Fault
0.85567313,0.90462434,0.766949,66.10476,78.23841,0,Bearing Fault
0.8273563,0.873094,0.78370064,71.372345,78.568794,0,Bearing Fault
0.8096422,1.1859827,0.8285498,77.11727,77.67639,0,Bearing Fault
0.8146158,1.012303,0.7649609,71.67727,77.72318,0,Bearing Fault
0.7678443,0.99160063,0.7307459,75.753395,77.007164,0,Bearing Fault
0.9046139,0.9464032,0.62615955,73.63764,79.67401,0,Bearing Fault
0.80241066,0.9329582,0.77011406,70.94902,75.5067,0,Bearing Fault
0.9264691,0.8531587,0.61513174,68.56209,74.0402,0,Bearing Fault
0.9430801,0.8421086,0.7479726,63.443226,75.89326,0,Bearing Fault
0.750469,0.847543,0.8056275,63.954453,73.993965,0,Bearing Fault
0.67736953,0.93765014,0.90300786,76.11956,74.79742,0,Bearing Fault
0.8123799,0.8412982,0.88544506,73.285835,71.058846,0,Bearing Fault
0.6868042,0.8977502,0.83031756,69.04105,77.343796,0,Bearing Fault
0.6628463,1.0120457,0.91901183,50.403008,74.59095,0,Bearing Fault
0.72833514,0.9266278,0.97334564,56.707413,78.2438,0,Bearing Fault
0.85124665,0.74020326,0.727725,62.051113,73.69263,0,Bearing Fault
0.90925604,0.85421634,0.59918386,85.020744,76.45925,0,Bearing Fault
0.85367143,0.9702994,0.8329942,72.97396,77.92833,0,Bearing Fault
0.75427574,0.8168689,0.6874401,82.55469,71.665146,0,Bearing Fault
0.7884331,0.8438151,0.8802785,72.265755,72.024536,0,Bearing Fault
0.7981223,0.95837927,0.7140106,86.234085,73.77651,0,Bearing Fault
0.8816181,0.83542687,0.8305097,75.5975,72.33819,0,Bearing Fault
0.8653537,0.8892448,0.7362769,77.70822,77.30851,0,Bearing Fault
0.8064163,0.91917676,0.7147458,71.09526,76.92356,0,Bearing Fault
0.79854685,0.96018946,0.74996066,54.914165,78.417656,0,Bearing Fault
0.7675598,0.8345344,0.76533145,57.121857,76.61107,0,Bearing Fault
0.72977334,0.88444006,0.8900176,52.53469,76.59071,0,Bearing Fault
0.7536603,0.9606736,0.78018767,81.282906,72.68046,0,Bearing Fault
0.8542914,0.7974372,0.7316986,76.37094,75.70952,0,Bearing Fault
0.74115866,1.0313505,0.93192077,65.21848,77.87174,0,Bearing Fault
0.7947838,1.0987718,0.87143946,63.11278,78.031685,0,Bearing Fault
0.81352204,0.9619564,0.81712055,79.66608,74.469635,0,Bearing Fault
0.80865574,0.9372471,0.68290335,66.33342,77.5981,0,Bearing Fault
0.83440506,0.9196825,0.7898704,74.84633,73.168076,0,Bearing Fault
0.56992364,0.93501914,0.8072225,71.696045,75.18627,0,Bearing Fault
0.7897511,0.83204603,0.7846976,64.995995,77.257484,0,Bearing Fault
0.84442097,0.9509803,0.72737396,67.05057,76.77219,0,Bearing Fault
0.8106288,1.0521442,0.7975663,76.59392,77.05658,0,Bearing Fault
0.6928506,1.0169253,0.771457,80.898674,78.97688,0,Bearing Fault
0.72036046,1.0802292,0.69270664,67.13838,73.08918,0,Bearing Fault
0.7312132,0.78026885,0.7195165,68.716644,77.19854,0,Bearing Fault
0.9175445,0.7943999,0.6771649,77.28525,73.9794,0,Bearing Fault
0.97955906,0.6890679,0.5810857,69.57043,75.90322,0,Bearing Fault
0.88519144,0.7967537,0.49314374,77.5628,77.385574,0,Bearing Fault
0.83731866,1.0589153,0.804865,71.728386,79.03072,0,Bearing Fault
0.7719275,0.99731034,0.72060084,75.4308,75.77317,0,Bearing Fault
0.8418874,0.9410838,0.83225155,74.77764,78.949585,0,Bearing Fault
0.6847019,1.065395,0.9064444,73.52389,76.607285,0,Bearing Fault
0.8074473,0.8330497,0.5919511,72.541725,76.74024,0,Bearing Fault
0.7335682,0.96971613,0.71436495,78.01242,73.686714,0,Bearing Fault
0.85776997,0.9270532,0.659895,67.82623,79.284096,0,Bearing Fault
0.88888067,0.7818811,0.73263913,73.083954,72.47606,0,Bearing Fault
0.6444917,0.77361876,0.7780921,65.10952,71.624306,0,Bearing Fault
0.8155277,0.998589,0.69884413,77.76931,79.01817,0,Bearing Fault
0.76882684,0.85406375,0.71361077,64.926155,75.85459,0,Bearing Fault
0.7224013,1.1053033,0.85713696,66.69505,80.76568,0,Bearing Fault
0.8805692,0.859336,0.66494155,71.71313,75.797585,0,Bearing Fault
0.75887966,0.86358744,0.81542796,53.742416,79.19335,0,Bearing Fault
0.9584932,0.86360466,0.6500841,89.119484,75.551704,0,Bearing Fault
0.77407646,0.93402994,0.76454514,73.828865,81.02786,0,Bearing Fault
0.76953435,1.0443438,0.8987557,78.980034,74.610535,0,Bearing Fault
0.6815131,1.0009149,0.9629672,61.187786,79.733444,0,Bearing Fault
0.8362164,0.9125839,0.6199676,78.36227,75.957275,0,Bearing Fault
